,real,imag
0,0.236840541091476,0.914460772513152
1,0.24429381828147623,0.9117920888644535
2,0.2517559582425216,0.9090319786887344
3,0.25922599445119754,0.9061793655806121
4,0.2667029334212657,0.9032331683591193
5,0.2741857541248846,0.9001923012577935
6,0.28167340740002755,0.89705567412448
7,0.289164815343632,0.89382219263131
8,0.29665887069001845,0.8904907584953518
9,0.30415443617408483,0.8870602697104508
10,0.31165034387877777,0.8835296207908236
11,0.3191453945663042,0.8798977030269892
12,0.3266383569925525,0.8761634047546717
13,0.33412796720415383,0.8723256116373376
14,0.3416129278176018,0.8683832069630859
15,0.3490919072798339,0.86433507195664
16,0.35656353910965105,0.8601800861072517
17,0.3640264211193366,0.8559171275133748
18,0.3714791146158113,0.8515450732450173
19,0.3789201435806542,0.84706279972475
20,0.3863479938282783,0.8424691831284027
21,0.39376111214155307,0.8377630998065552
22,0.40115790538413604,0.8329434267279932
23,0.40853673958875597,0.8280090419463895
24,0.4158959390206836,0.8229588250915354
25,0.4232337852155977,0.8177916578865537
26,0.43054851599105187,0.8125064246926011
27,0.43783832443072407,0.8071020130826801
28,0.44510135784062976,0.8015773144462774
29,0.45233571667646233,0.7959312246266631
30,0.45953945344122354,0.7901626445928039
31,0.4667105715523095,0.7842704811479718
32,0.4738470241771979,0.7782536476772616
33,0.48094671303691794,0.7721110649363792
34,0.4880074871764645,0.7658416618842151
35,0.49502714170135126,0.7594443765618731
36,0.5020034164795135,0.7529181570210063
37,0.5089339948077938,0.7462619623044879
38,0.5158165020422883,0.7394747634826379
39,0.5226485041918676,0.7325555447484325
40,0.5294275064742404,0.725503304575342
41,0.536150951834002,0.7183170569416555
42,0.5428162194221666,0.7109958326254182
43,0.5494206230367971,0.7035386805743292
44,0.5559614095244231,0.6959446693552385
45,0.5624357571420848,0.688212888688144
46,0.5688407738799616,0.6803424510698991
47,0.5751734957447061,0.6723324934931291
48,0.581430885003796,0.664182179266197
49,0.5876098283914092,0.6558906999403796
50,0.593707135276563,0.647457277350769
51,0.5997195357945285,0.6388811657777821
52,0.6056436789428107,0.6301616542365329
53,0.611476130643324,0.621298068901708
54,0.6172133717727585,0.6122897756760045
55,0.6228517961635331,0.6031361829105794
56,0.6283877085781943,0.5938367442864
57,0.6338173226606177,0.5843909618658127
58,0.6391367588679204,0.5747983893240832
59,0.6443420423876193,0.5650586353710978
60,0.6494291010452206,0.5551713673738776
61,0.6543937632081938,0.5451363151909844
62,0.659231755693069,0.5349532752303382
63,0.663938701683307,0.5246221147423974
64,0.6685101186665414,0.5141427763610702
65,0.6729414164008589,0.5035152829051078
66,0.677227894920925,0.4927397424531158
67,0.6813647425960121,0.48181635370563375
68,0.6853470342533228,0.4707454116480471
69,0.6891697293814696,0.4595273135283209
70,0.692827670430523,0.4481625651637325
71,0.6963155812267344,0.4366517875908904
72,0.6996280655218409,0.42499572407334313
73,0.7027596056987887,0.4131952474810073
74,0.7057045616577697,0.40125136805545575
75,0.708457169908655,0.3891652415747806
