epoch,train_mse,val_mse
1,5.53917661190033,2.203135769814253
2,2.3674244117736816,2.1978486254811287
3,2.349436321258545,2.2096180878579617
4,2.323856726646423,2.1168472543358803
5,2.2454725356101988,2.0590465664863586
6,2.1846738662719725,2.0675383247435093
7,2.154258029460907,1.9952367804944515
8,2.0612877531051637,1.8647800032049417
9,1.8913075103759767,1.6633288692682981
10,1.7176758155822753,1.468777172267437
11,1.554989106655121,1.4037550939247012
12,1.459668206691742,1.259150662459433
13,1.333261790752411,1.196442510932684
14,1.2423269023895265,1.153229208663106
15,1.1910715150833129,1.0632231775671244
16,1.1045334968566896,1.094100572168827
17,1.0575745625495911,1.000667467713356
18,1.0572958629131317,0.9802313158288598
19,0.9935359561443329,0.9992004949599504
20,0.9180181441307068,0.91871825652197
21,0.9083563942909241,0.8796909106895328
22,0.8599070208072662,0.954978512134403
23,0.8517793914079667,0.8228190885856748
24,0.8102004175186157,0.7828472293913364
25,0.7617108721733094,0.7629634663462639
26,0.7476911256313324,0.7848208057694137
27,0.7215859246253967,0.7203273330815136
28,0.686144294142723,0.7141764401458204
29,0.7354489650726318,0.8194785946980119
30,0.668250985622406,0.701017870567739
31,0.6302083038091659,0.660065277479589
32,0.6210365495681762,0.662539987359196
33,0.5893275774717331,0.640702638309449
34,0.5680676773786545,0.6468607131391764
35,0.5703429851531983,0.6298854765482247
36,0.5399573633670807,0.617126043420285
37,0.5382894253730774,0.6005116049200296
38,0.516612860918045,0.5951782804913819
39,0.49951027929782865,0.5953192566521466
40,0.5120307738780976,0.5719360858201981
41,0.47234043765068057,0.5693958918564022
42,0.4636776319742203,0.5752581804990768
43,0.4656616917848587,0.5447687390260398
44,0.4385204036235809,0.556848889682442
45,0.4322173008918762,0.5439122072421014
46,0.4211538469791412,0.5489050983451307
47,0.41709078490734103,0.5367038967087865
48,0.4058020439147949,0.535958781838417
49,0.39886014711856843,0.5280964355915785
50,0.39349511969089507,0.5409554443322122
51,0.38778771901130676,0.5264613851904869
52,0.38194569885730745,0.5310474731959403
53,0.3819138430356979,0.5243101953528821
54,0.3758440579175949,0.5239900089800358
55,0.37281966298818586,0.5218612942844629
56,0.37253909921646117,0.5227221483364701
57,0.3689455068707466,0.5214293827302754
58,0.3671984561085701,0.5213292487896979
59,0.36609243750572207,0.5212363265454769
60,0.36546583819389344,0.5211606472730637
