epoch,train_mse,val_mse
1,0.13193677109479904,0.10437519359402359
2,0.09549332004785538,0.09385890257544816
3,0.08852372613549232,0.08673731295857579
4,0.0791987877190113,0.07440834864974022
5,0.06086993777751923,0.05156720196828246
6,0.043448483780026435,0.040632142685353756
7,0.03534826478362083,0.033285471610724926
8,0.03018051052093506,0.030452797247562557
9,0.027458968192338944,0.027331148186931387
10,0.024427000172436236,0.024824512045597658
11,0.02260482122004032,0.022515002638101578
12,0.020705136578530074,0.020347448211396113
13,0.01862355447560549,0.019552610348910093
14,0.017170111685991286,0.017852710298029706
15,0.015750002436339856,0.016938930144533515
16,0.014621029555797577,0.01527103187981993
17,0.013373183369636535,0.014564444456482306
18,0.012516756139695644,0.01400793221546337
19,0.011784965582191944,0.013308971960213967
20,0.01099205970391631,0.012666509821428917
21,0.010474125400185585,0.011344624377670698
22,0.009607998173683881,0.011679741786792874
23,0.009141841541975736,0.011234405537834391
24,0.008639595044776797,0.009939234223566018
25,0.008198001505807042,0.010376920166891068
26,0.00783919527195394,0.009336370312666986
27,0.007360496066510677,0.00909239594329847
28,0.007133257577195764,0.008930503434385173
29,0.006724011301994324,0.008445162275165785
30,0.006374195525422692,0.008159571894793771
31,0.006325333420187235,0.008300712433992885
32,0.006013738257810474,0.007652645050256979
33,0.00568180812895298,0.007459821958036628
34,0.005441059678792953,0.007833373245375697
35,0.005344646668061614,0.007398114379611798
36,0.005082437176257372,0.0070602938067168
37,0.0048968009874224665,0.007125385673134588
38,0.004805488619953394,0.006667022455076221
39,0.00461773769184947,0.006732881491188891
40,0.00448129927366972,0.006421910489734728
41,0.004350069278851151,0.006481572141638026
42,0.004233621547929943,0.006249232443224173
43,0.004108231069520116,0.006443926889915019
44,0.00403410086221993,0.006114388648711611
45,0.00397995634097606,0.006247157522011548
46,0.003883714956231415,0.0060861139427288435
47,0.003822123517282307,0.006043400244379882
48,0.0037532621659338472,0.006046680064173415
49,0.003676393399015069,0.005915385270782281
50,0.003631488093174994,0.005964166688499972
51,0.0035923813292756675,0.005806395311083179
52,0.003533405164256692,0.005803839638247155
53,0.0035015476485714316,0.005750071111833677
54,0.003470627620816231,0.005730736869736575
55,0.003437323507852852,0.00573274841735838
56,0.003414234597235918,0.005721048066334333
57,0.003396555311977863,0.0057060442777583376
58,0.003381900813430548,0.0057031142569030635
59,0.003370756469666958,0.0056962264206958935
60,0.003363350262865424,0.005696176194760483
