number,value,datetime_start,datetime_complete,duration,params_alfa,params_batch_size,params_beta,params_lr,params_w_filter,params_weight_decay,params_wmag,state
25,0.012162030179752037,2026-03-26 04:33:15.539348,2026-03-26 04:36:00.235195,0 days 00:02:44.695847,0.2143174139620129,32,0.19345600546811598,0.0008242969208066281,0.026713137978171986,1.0716681263401603e-05,0.3846583168870355,COMPLETE
26,0.019737571070436388,2026-03-26 04:36:00.235195,2026-03-26 04:38:49.063386,0 days 00:02:48.828191,0.17999637643934327,32,0.18204645452332943,0.0005344174774770631,0.047973070803536494,2.7717011719614905e-05,0.20328306113297373,COMPLETE
27,0.11128311231732368,2026-03-26 04:38:49.063386,2026-03-26 04:39:30.087596,0 days 00:00:41.024210,0.21451848711669172,32,0.15373306933621275,0.00034530002297279597,0.08128158524849792,5.6932886691220213e-05,0.7358869419839723,PRUNED
28,0.1788621386513114,2026-03-26 04:39:30.087596,2026-03-26 04:40:02.877897,0 days 00:00:32.790301,0.1420570358757638,64,0.2369845916620974,0.0006427734720022334,0.13203084843195656,1.3140999061275677e-05,0.43489443919627097,PRUNED
29,0.011289590407931616,2026-03-26 04:40:02.877897,2026-03-26 04:44:09.069958,0 days 00:04:06.192061,0.10450287663655342,16,0.20493564804168596,0.000982667343091027,0.02167101713056156,0.00030337637008954734,0.3263713361767406,COMPLETE
30,0.019696054004487536,2026-03-26 04:44:09.069958,2026-03-26 04:48:15.969722,0 days 00:04:06.899764,0.2622110306781489,16,0.2734151487511041,0.00047079806963585364,0.05561270154555274,8.183854448544016e-05,0.6575902602016627,COMPLETE
31,0.007870162313338369,2026-03-26 04:48:15.969722,2026-03-26 04:51:05.208124,0 days 00:02:49.238402,0.16281565221386174,32,0.25250869228755674,0.0007774494157481827,0.01199928211528589,0.00010358832086464646,0.9765312599811335,COMPLETE
32,0.01611890975618735,2026-03-26 04:51:05.208124,2026-03-26 04:53:54.017461,0 days 00:02:48.809337,0.1729714143105517,32,0.24855641890893113,0.0007565762735579514,0.03939597440946561,0.00021547431755247905,0.5686705730923856,COMPLETE
33,0.011521656619152054,2026-03-26 04:53:54.017461,2026-03-26 04:56:40.177378,0 days 00:02:46.159917,0.1146167563725459,32,0.2728958852116452,0.000867873759876697,0.021553536174386902,0.0004560853881405054,0.7242255763015151,COMPLETE
34,0.007820215207175352,2026-03-26 04:56:40.177378,2026-03-26 04:59:26.280284,0 days 00:02:46.102906,0.15621028917509175,32,0.22465137478884958,0.0005833582956772353,0.01136766561275016,0.00010455976041846084,0.5043036925877097,COMPLETE
35,0.042914826955114095,2026-03-26 04:59:26.280284,2026-03-26 05:00:36.846266,0 days 00:01:10.565982,0.06130147785789963,16,0.228174401955053,0.0005256531633838634,0.039007290660443915,0.00010733225184334953,0.5568267587002899,PRUNED
36,0.05835163395386189,2026-03-26 05:00:36.846266,2026-03-26 05:01:19.565272,0 days 00:00:42.719006,0.15474655190456377,32,0.21438592678739274,0.0002963015186902854,0.02433654193524428,5.280511404531956e-05,0.9748293281862124,PRUNED
37,0.07747635373380035,2026-03-26 05:01:19.567275,2026-03-26 05:02:01.315494,0 days 00:00:41.748219,0.14011395341414298,32,0.27089295227492693,0.0005946821770747832,0.059039507074027164,0.00019267079791992237,0.28688004135518264,PRUNED
38,0.07692193541498411,2026-03-26 05:02:01.315494,2026-03-26 05:03:01.228054,0 days 00:00:59.912560,0.19049131412721365,16,0.2492771056032676,0.0003797427217005743,0.0718498644620452,9.252078391576997e-05,0.8007494428431092,PRUNED
39,0.005919177376199514,2026-03-26 05:03:01.228054,2026-03-26 05:05:47.131412,0 days 00:02:45.903358,0.2283662112870022,32,0.2999168580492462,0.0007053908935402008,0.010215104235298781,4.846472490646443e-05,0.5149088475228906,COMPLETE
