epoch,train_loss,val_loss
1,1.2099430163701375,1.0684731006622314
2,0.7123366395632426,1.0185500383377075
3,0.59285040696462,0.9668494462966919
4,0.514250765244166,0.9021328687667847
5,0.4791358908017476,0.8102209568023682
6,0.4674689670403798,0.7185673713684082
7,0.4522899587949117,0.664004921913147
8,0.43823733925819397,0.6325286030769348
9,0.40611178676287335,0.561428427696228
10,0.39844392736752826,0.5205105543136597
11,0.36389851570129395,0.5360878705978394
12,0.34907524784406024,0.5210068225860596
13,0.3492107888062795,0.5172469615936279
14,0.41467683513959247,0.509702205657959
15,0.3111964960892995,0.494958758354187
16,0.31033457318941754,0.5137476921081543
17,0.3071725070476532,0.5138385891914368
18,0.33637283245722455,0.5475981831550598
19,0.2909421920776367,0.5370742082595825
20,0.26669328411420185,0.5301119685173035
21,0.30365339914957684,0.5477398633956909
22,0.3103075673182805,0.5526492595672607
23,0.27465030054251355,0.5645463466644287
24,0.2615041832129161,0.5945141911506653
25,0.27635835111141205,0.5875848531723022
26,0.2831988682349523,0.5896638035774231
27,0.26087574164072674,0.5907599925994873
28,0.24441600839296976,0.5791134834289551
29,0.20683778325716654,0.5843653678894043
30,0.23128296931584677,0.6248425841331482
31,0.24248632291952768,0.5991197824478149
32,0.1988270878791809,0.5905914306640625
33,0.2420119345188141,0.6129936575889587
34,0.18709726134936014,0.6140429973602295
35,0.18391704062620798,0.6401347517967224
36,0.18979706863562265,0.6364551782608032
37,0.18344826996326447,0.6210837364196777
38,0.16740605731805167,0.6155073642730713
39,0.1811371147632599,0.6178523302078247
40,0.17409191032250723,0.5945266485214233
41,0.17947094639142355,0.590915322303772
42,0.1566487898429235,0.6034277677536011
43,0.16850134233633676,0.627605140209198
44,0.17767403026421866,0.5936458706855774
45,0.22552911937236786,0.61195969581604
46,0.17898514370123544,0.6203563213348389
47,0.1768104831377665,0.6244233250617981
48,0.16207453111807504,0.6706593036651611
49,0.13700744758049646,0.6589924097061157
50,0.14467759927113852,0.6158384680747986
51,0.1212265317638715,0.6259430050849915
52,0.1560314248005549,0.6485853791236877
53,0.1144539142648379,0.6274934411048889
54,0.1208307792743047,0.6040549278259277
55,0.12620785335699716,0.6128842234611511
