epoch,train_loss,val_loss
1,0.8557582778930664,0.64849554002285
2,0.6196009693145752,0.5144464690238237
3,0.5599637022018432,0.44744064565747976
4,0.5058342659473419,0.48108558915555477
5,0.4563900167942047,0.42091406881809235
6,0.43107009840011595,0.3829467846080661
7,0.39880385947227476,0.36099755205214024
8,0.37274044144153595,0.30788354063406587
9,0.34350043964385985,0.29558812035247684
10,0.3197458291053772,0.28318199981004
11,0.30966726565361025,0.27001145808026195
12,0.2885868035554886,0.28779585752636194
13,0.2803029143810272,0.2603919608518481
14,0.26656549620628356,0.30570444092154503
15,0.25041089820861817,0.26363311195746064
16,0.24962230825424195,0.2525694421492517
17,0.24190215516090394,0.24890086567029357
18,0.2307160303592682,0.22720813611522317
19,0.22257219600677491,0.21289694728329778
20,0.21217783784866334,0.20954523188993335
21,0.21059826457500458,0.20490973722189665
22,0.20369535136222838,0.20278142439201474
23,0.20318122231960298,0.1911843742709607
24,0.19576477009058,0.2007042784243822
25,0.19118245315551757,0.16893397504463792
26,0.17638145142793654,0.16749554174020886
27,0.17559452903270723,0.17259208811447024
28,0.17197276800870895,0.1517376834526658
29,0.1718370760679245,0.16895598801784217
30,0.16045711642503738,0.17290371330454946
31,0.163081374168396,0.14706444763578475
32,0.15186466670036317,0.14171795011498034
33,0.15405339401960372,0.15051755728200078
34,0.14846776711940765,0.140696307644248
35,0.14543228763341903,0.15965108294039965
36,0.14238963782787323,0.1487827931996435
37,0.13767856854200364,0.140894859097898
38,0.1373360607624054,0.1341025645378977
39,0.1354888800382614,0.1502988322172314
40,0.13723368835449218,0.12267402675934136
41,0.12794376462697982,0.1283819591626525
42,0.12545854157209396,0.12127178022637963
43,0.12484390711784363,0.1417407663539052
44,0.1278248301744461,0.12976230145432055
45,0.13002797162532806,0.12531214603222907
46,0.12730429422855377,0.14078473951667547
47,0.12171001529693604,0.12368716020137072
48,0.1216664081811905,0.12370343459770083
49,0.12378177881240844,0.11759588052518666
50,0.11615911537408828,0.11369115207344294
51,0.12160142171382904,0.1307276135776192
52,0.11888503676652909,0.13507814798504114
53,0.12009639298915863,0.11378985829651356
54,0.11684750580787659,0.1176418422255665
55,0.11503682738542556,0.13117773970589042
56,0.11292602115869523,0.11209862143732607
57,0.11196796423196792,0.11381981195881963
58,0.11215265321731567,0.1151724923402071
59,0.11308648759126663,0.10815956466831267
60,0.11208779150247573,0.12029472412541509
61,0.11309463465213776,0.11469600675627589
62,0.10723805731534958,0.10740259755402803
63,0.10685148131847381,0.12429866171441972
64,0.10972982400655747,0.11246997211128473
65,0.10758606839179993,0.12328944192267954
66,0.1048728392124176,0.1056470931507647
67,0.10597684788703919,0.1039291312918067
68,0.10327588561177253,0.10405665216967463
69,0.10657516407966613,0.11683598277159035
70,0.10415467917919159,0.1038702845107764
71,0.10592123371362686,0.10866248165257275
72,0.10072294664382934,0.10947713465429842
73,0.10028027519583702,0.12067305645905435
