epoch,train_mse,val_mse
1,2.1672720193862913,1.260234784334898
2,1.3560124387741088,1.2562417183071375
3,1.342715597629547,1.246809734031558
4,1.3005463013648986,1.1928061731159687
5,1.2753203330039977,1.17483776435256
6,1.2478352999687194,1.1664450149983168
7,1.2224201631546021,1.125053709372878
8,1.139693211555481,0.9949757158756256
9,1.0074326477050781,0.8923874199390411
10,0.9057583024501801,0.8267180351540446
11,0.825907261133194,0.7704749973490834
12,0.7433298878669738,0.7114330595359206
13,0.691438959121704,0.6253978805616498
14,0.6547852786779403,0.6410036119632423
15,0.6222504117488861,0.5937928692437708
16,0.5911282908916473,0.5934597430750728
17,0.5617684742212296,0.5858974913135171
18,0.5396746183633805,0.5389797808602452
19,0.5112884489297866,0.5177167914807796
20,0.5138222123384476,0.4981586351059377
21,0.4919374188184738,0.44919783785007894
22,0.4773035725355148,0.4700302602723241
23,0.4386074640750885,0.44451910024508834
24,0.4293767809867859,0.4251674427650869
25,0.4027542167901993,0.41297767916694283
26,0.3889154553413391,0.3946066000498831
27,0.3765097031593323,0.40627873432822526
28,0.37360040068626404,0.40129035362042487
29,0.3662105448246002,0.40155938919633627
30,0.3390209902524948,0.3836355812381953
31,0.39496021687984467,0.36643418204039335
32,0.3314368209838867,0.3653248723130673
33,0.3168213139772415,0.36181571055203676
34,0.31225131440162657,0.3483157530426979
35,0.30664386385679243,0.3637924790382385
36,0.29877776753902435,0.38403035793453455
37,0.3242674878835678,0.35329772997647524
38,0.2830060640573502,0.3445083692204207
39,0.2736685219407082,0.32190907117910683
40,0.25372083961963654,0.31730707874521613
41,0.2852337594628334,0.32128897053189576
42,0.2584188966155052,0.32028524531051517
43,0.5293671383857727,0.4414386167190969
44,0.3373537905216217,0.3786701294593513
45,0.2632256946563721,0.3215910359285772
46,0.2584620906114578,0.36427998077124357
47,0.2969394183754921,0.35018709022551775
48,0.43592802023887633,0.39582440070807934
49,0.2879054719209671,0.33855469967238605
50,0.24561739486455916,0.3090198803693056
51,0.22569028908014296,0.31548833660781384
52,0.23328760820627212,0.283944602124393
53,0.216364481985569,0.29446158185601234
54,0.299626748085022,0.3256763997487724
55,0.23679925268888474,0.2799156871624291
56,0.2108050616979599,0.2995188923086971
57,0.21181225746870042,0.2861031233333051
58,0.20714431804418565,0.3135387860238552
59,0.22771021157503127,0.287149369250983
60,0.22497027388215066,0.35158137045800686
61,0.2065056441128254,0.2732701161876321
62,0.2078461779654026,0.2948095726314932
63,0.22157364749908448,0.29206139058806
64,0.18930588802695275,0.2729660093318671
65,0.24340564721822738,0.2893817329313606
66,0.18305057215690612,0.276375264627859
67,0.2669807464778423,0.8819249952211976
68,0.446496009349823,0.31572397239506245
69,0.21548320096731186,0.2994752039667219
70,0.18695417931675912,0.27464136842172593
71,0.17181840789318084,0.28050373995210975
72,0.495318847566843,0.6959535172209144
73,0.5388097475767135,0.48336836649104953
74,0.43876234525442126,0.41513537848368287
75,0.3558103243112564,0.37485487340018153
76,0.3470129268169403,0.43484293995425105
77,0.3364546292424202,0.38046385534107685
78,0.2993988604545593,0.3732173687312752
79,0.2646401522755623,0.35121336206793785
80,0.26016037312150003,0.33000634447671473
81,0.3706747562885284,0.4728597095236182
82,0.3773000957965851,0.5638160733506083
83,0.37596430426836014,0.39273865916766226
84,0.34004946452379226,0.40018055541440845
85,0.2919173232913017,0.3507175936829299
86,0.27613351786136625,0.3581356096547097
87,0.2793867627382278,0.38489442062564194
88,0.28714276111125947,0.3099068244919181
89,0.23168676227331161,0.2939603538252413
90,0.7384001102447509,0.6119086584076285
91,0.43132836985588074,0.40670000039972365
92,0.28333880186080934,0.36041139671579003
93,0.2674387773275375,0.33700050436891615
94,0.2734770072102547,0.3439638940617442
95,0.22733479130268097,0.4464294044300914
96,0.2795083813071251,0.34708895441144705
97,0.2204297901391983,0.301891203969717
98,0.2385306802392006,0.30221051280386746
99,0.2027120959162712,0.3055410410743207
100,0.19195509126782417,0.2927945249248296
101,0.17179900228977205,0.27058905083686113
102,0.16609996873140334,0.29002270428463817
103,0.17454826352000236,0.2851919438689947
104,0.1614940993785858,0.2779490938410163
105,0.3875594038963318,0.4068723628297448
106,0.24100654727220536,0.302422680426389
107,0.2059312066435814,0.4155424074269831
108,0.20724026802182197,0.27380092395469546
109,0.18065151733160018,0.27443106018472463
110,0.1637682366967201,0.258647465496324
111,0.15079663318395614,0.2765855204779655
112,0.14890827810764312,0.2754725741688162
113,0.15273648232221604,0.4637410915456712
114,0.23884369790554047,0.27397162979468703
115,0.14915242862701417,0.2550850079860538
116,0.13179188123345376,0.26271449495106936
117,0.1306273365020752,0.25574378366582096
118,0.12482918083667754,0.26268068072386086
119,0.1320772107541561,0.2512279152870178
120,0.13490250271558762,0.25844696955755353
121,0.12710081112384797,0.24590652016922832
122,0.14828986793756485,0.2515495091211051
123,0.13325513580441475,0.24857631151098758
124,0.1258597337305546,0.2604002836160362
125,0.12628114274144173,0.26024400093592703
126,0.13687784960865976,0.279714661417529
127,0.1524451787173748,0.25034646480344236
128,0.11084790980815887,0.24561629898380488
129,0.12000893104076385,0.2642524023540318
130,0.11299978557229041,0.2499703753273934
131,0.226987917304039,0.27343174698762596
132,0.14547630938887596,0.35230698203668
133,0.14254467377066612,0.24986577418167144
134,0.11607977691292763,0.242017291020602
135,0.1358682334125042,0.521600728854537
136,0.2000864392220974,0.2517854883335531
137,0.11795914030075073,0.24624066217802465
138,0.11014074748754502,0.24836038472130895
139,0.12857952335476874,0.25667237828020006
140,0.11974864462018013,0.24928164179436862
141,0.10880822095274925,0.24461197247728705
142,0.09586305513978005,0.2366780237061903
143,0.09546750444173813,0.24841512343846262
144,0.10362082970142364,0.24187937402166426
145,0.09653666269779206,0.249191828770563
146,0.10561831232905387,0.2990722809918225
147,0.14700179544091224,0.3551353991497308
148,0.12662976905703544,0.2509107505902648
149,0.09325542859733105,0.24767389567568898
150,0.1841319055557251,0.3789898590184748
151,0.1813979100883007,0.26472530176397413
152,0.15137357193231582,0.2510653620120138
153,0.12484389314055443,0.25672776717692614
154,0.1195020323395729,0.2545144736068323
155,0.10560661467909813,0.27119288267567754
156,0.11271553725004196,0.24645007168874145
157,0.091490397721529,0.2588548030471429
158,0.09840871620178222,0.24475880851969123
159,0.09742737394571305,0.2953250058926642
160,0.10348136112093925,0.2460131838452071
161,0.08507175454497337,0.2357983209658414
162,0.07964507108926773,0.2617128255078569
163,0.10661179375648498,0.2504104260588065
164,0.10297110557556152,0.26358705933671445
165,0.09942099165916443,0.23817341541871428
166,0.10541408069431782,0.25091370451264083
167,0.10151607359945775,0.2998744831420481
168,0.09387075608968734,0.2542261277558282
169,0.09304964277148246,0.2585481909336522
170,0.09690305851399898,0.24294486502185464
171,0.09084939715266228,0.241777639137581
172,0.09423757269978524,0.24016465654131025
173,0.09216483989357949,0.24339385784696788
174,0.07841497808694839,0.24539674306288362
175,0.08555504177510738,0.24151048762723804
176,0.07571750050783158,0.23826748924329877
177,0.07241687172651291,0.2491831248626113
178,0.07170519007742406,0.23862305039074272
179,0.10502836683392525,0.24855610658414662
180,0.08938716845214367,0.24345427239313722
181,0.1011223000138998,0.24966456508263946
182,0.15431379330158235,0.27868456370197237
183,0.20901008120179176,0.28409902402199805
184,0.1379155892878771,0.25902949494775385
185,0.11369935478270053,0.25956305651925504
186,0.11285069960355759,0.2551002234686166
187,0.09798657317459583,0.23688983649481088
188,0.2236237454712391,0.3242677259258926
189,0.1530638608932495,0.2595008705975488
190,0.11115184846520423,0.26013781083747745
191,0.14079616206884385,0.3071590787731111
192,0.13229157677292824,0.2575070774182677
193,0.09792303387820721,0.24446013057604432
194,0.09031011219322681,0.2438441984122619
195,0.082326726436615,0.24470071296673268
196,0.0787266658693552,0.24271587980911136
197,0.07666730155050755,0.24482931720558554
198,0.07476881800591946,0.23965521028731018
199,0.0835669972896576,0.2421908867545426
200,0.07357101491093636,0.24281569151207805
201,0.07213115593791009,0.24192218948155642
202,0.08720772141218186,0.2491262366529554
203,0.08371816402673721,0.24824705882929265
