epoch,train_mse,val_mse
1,0.26878834211826325,0.2582964631728828
2,0.25563575577735903,0.2551663536578417
3,0.2535309602022171,0.25404277350753546
4,0.25158871364593505,0.25096508115530014
5,0.24855248749256134,0.24780828785151243
6,0.24498766279220582,0.243538707960397
7,0.24191251015663148,0.24222140247002244
8,0.24010973918437958,0.2408667211420834
9,0.23905423843860626,0.23971969494596124
10,0.23858492612838744,0.2397914156317711
11,0.23804718792438506,0.23854526691138744
12,0.23771366822719575,0.2384284040890634
13,0.23745160269737245,0.23838865105062723
14,0.2373134673833847,0.2382087134756148
15,0.23709413158893586,0.23799392580986023
16,0.23693865990638732,0.23813924239948392
17,0.23671285378932952,0.23785163462162018
18,0.23666336476802827,0.23800612287595868
19,0.23654414010047914,0.23795467196032405
20,0.23647872197628023,0.23771779844537377
21,0.2363751904964447,0.23750894237309694
22,0.23623523151874543,0.2374956668354571
23,0.23614638769626617,0.2375967218540609
24,0.23608092749118806,0.23733898578211665
25,0.235942973613739,0.2373109976761043
26,0.23596705853939057,0.23737758491188288
27,0.23592228972911836,0.237271745223552
28,0.23583424174785614,0.23720790864899755
29,0.2357867031097412,0.23702226672321558
30,0.23573194599151612,0.23702112212777138
31,0.235691796541214,0.23691897559911013
32,0.235652183175087,0.23693082528188825
33,0.23560956597328186,0.23696194868534803
34,0.23556658947467804,0.23685938818380237
35,0.23551613879203798,0.23697820911183953
36,0.2355262805223465,0.23681445326656103
37,0.23545773887634278,0.23680034512653947
38,0.23544184648990632,0.23680005501955748
39,0.23540204644203186,0.23685464076697826
40,0.2354034732580185,0.23672171449288726
41,0.23535716795921327,0.2367329620756209
42,0.2353536903858185,0.2366867088712752
43,0.23531512236595153,0.2366823349148035
44,0.23529789507389068,0.23661107989028096
45,0.2352840098142624,0.23661570390686393
46,0.23526426589488983,0.236591306515038
47,0.23524331820011138,0.23660502582788467
48,0.23523060643672944,0.23660640604794025
49,0.23521676468849181,0.23657475598156452
50,0.2352027646303177,0.23657831409946084
51,0.235199835062027,0.23657529754564166
52,0.2351893994808197,0.23656495427712798
53,0.23517524373531343,0.23655342357233167
54,0.2351742911338806,0.23652934655547142
55,0.23516241431236268,0.23653244599699974
56,0.23515862226486206,0.23652845853939652
57,0.23515386617183684,0.23652237793430686
58,0.2351507946252823,0.23652310157194734
59,0.23514820098876954,0.23652215534821153
60,0.23514607727527617,0.23652152623981237
