epoch,train_loss,val_loss
1,0.7616400917371114,0.7814251184463501
2,0.7349044481913248,0.7616764903068542
3,0.7279204726219177,0.7366013526916504
4,0.6452767252922058,0.7115966081619263
5,0.6495745380719503,0.7028898000717163
6,0.6168235143025717,0.7085573673248291
7,0.6242928306261698,0.6923912763595581
8,0.6018453041712443,0.6752849817276001
9,0.582118014494578,0.6638520956039429
10,0.5897642175356547,0.6510645747184753
11,0.5634255607922872,0.6346169114112854
12,0.546718696753184,0.6134443283081055
13,0.47949232657750446,0.5908923149108887
14,0.4684583246707916,0.5674169063568115
15,0.43179290493329364,0.5383241772651672
16,0.4160467783610026,0.5141102075576782
17,0.4093350072701772,0.5006800889968872
18,0.39503535628318787,0.49152567982673645
19,0.40149426460266113,0.4883418083190918
20,0.40088846286137897,0.488312304019928
21,0.4024033049742381,0.4893767237663269
22,0.38403767347335815,0.48879843950271606
23,0.3679276406764984,0.48912113904953003
24,0.3850395381450653,0.4897432327270508
25,0.3791625996430715,0.4889635741710663
26,0.35731082161267597,0.48586517572402954
27,0.35615383585294086,0.4808586835861206
28,0.3520830571651459,0.4766097068786621
29,0.35681796073913574,0.47476544976234436
30,0.3547932505607605,0.47145378589630127
31,0.35222626725832623,0.46435287594795227
32,0.34684990843137103,0.4591563642024994
33,0.33668750524520874,0.4564095735549927
34,0.3510727485020955,0.45286473631858826
35,0.3424587547779083,0.4498284161090851
36,0.3354725142319997,0.4424650967121124
37,0.3354828556378682,0.4412339925765991
38,0.3380550642808278,0.4406648576259613
39,0.3344181378682454,0.4395172894001007
40,0.3266377051671346,0.4387395977973938
41,0.3255543311436971,0.43885138630867004
42,0.32494406898816425,0.44028863310813904
43,0.33291319012641907,0.4397478997707367
44,0.3146002342303594,0.4370635151863098
45,0.32584600647290546,0.4368988871574402
46,0.318017582098643,0.43528422713279724
47,0.3381529053052266,0.4345893859863281
48,0.32870591680208844,0.4343569576740265
49,0.3058012475570043,0.43530353903770447
50,0.329201877117157,0.4389975070953369
51,0.332405686378479,0.4383181631565094
52,0.3242202897866567,0.4359588623046875
53,0.311563899119695,0.43400511145591736
54,0.33247148990631104,0.4355164170265198
55,0.32205499211947125,0.4384354054927826
56,0.3000002404054006,0.4426491856575012
57,0.3127547701199849,0.4428999722003937
58,0.30392715334892273,0.4405200481414795
59,0.31237446268399555,0.4387659430503845
60,0.32132649421691895,0.4370949864387512
61,0.31566447019577026,0.43687042593955994
62,0.30870529015858966,0.43776822090148926
63,0.32527924577395123,0.4355965554714203
64,0.3086223006248474,0.43261849880218506
65,0.320272554953893,0.4331545829772949
66,0.32147468129793805,0.43348169326782227
67,0.3033537268638611,0.4350857734680176
68,0.31234516700108844,0.4372049868106842
69,0.31130680441856384,0.43910568952560425
70,0.31879858175913495,0.43925854563713074
71,0.30658042430877686,0.4398403763771057
72,0.2867568184932073,0.4363168179988861
73,0.30490148067474365,0.4331715703010559
74,0.30418039361635846,0.43227601051330566
75,0.2996618648370107,0.43526342511177063
76,0.29365574320157367,0.43911582231521606
77,0.28586352864901227,0.44011399149894714
78,0.28293776512145996,0.43940210342407227
79,0.2912496825059255,0.43554145097732544
80,0.28091101348400116,0.4383102059364319
81,0.29065003991127014,0.43982353806495667
82,0.3077649374802907,0.43903008103370667
83,0.28974323471387226,0.43470948934555054
84,0.28328534960746765,0.4367724359035492
85,0.276780237754186,0.4379652738571167
86,0.28213759263356525,0.43721622228622437
87,0.27228793501853943,0.4381290078163147
88,0.2885582645734151,0.4377877712249756
89,0.28358601530392963,0.43823182582855225
90,0.28450480103492737,0.436568021774292
91,0.27378947536150616,0.4388197362422943
92,0.2914210359255473,0.441777765750885
93,0.29382247229417163,0.442230224609375
94,0.30035563309987384,0.4417741596698761
95,0.2623796264330546,0.4400569200515747
96,0.2674543261528015,0.4391416609287262
97,0.2740318775177002,0.4398835301399231
98,0.2786988268295924,0.43920257687568665
99,0.28603893518447876,0.43774139881134033
100,0.27468585471312207,0.43856358528137207
101,0.281938115755717,0.43930405378341675
102,0.2662876794735591,0.4388244152069092
103,0.2505808373292287,0.4369557499885559
104,0.2551707128683726,0.4376942217350006
105,0.27743427952130634,0.43706104159355164
106,0.27149447798728943,0.43647751212120056
107,0.2582201808691025,0.4366499185562134
108,0.2460902283589045,0.4386970102787018
109,0.25227614243825275,0.43953847885131836
110,0.25357826550801593,0.4401419460773468
111,0.25248555342356366,0.4387100636959076
112,0.2568281541268031,0.4363635182380676
113,0.2582060943047206,0.43700194358825684
114,0.24321879943211874,0.43788382411003113
